Taxon,sitesInFile,sitesInAPI, delta, datasetsFromAPI,
Abies_alba,19,19,0,24,
Abies_nordmanniana,14,14,0,14,
Acer_circinatum,10,13,-3,13,
Acer_negundo,380,380,0,413,
Acer_rubrum,58,801,-743,891,
Acer_saccharinum,89,269,-180,293,
Acer_saccharum,162,938,-776,1077,
Acer_undiff,66,261,-195,294,
Aconogonon_ochreatum,10,10,0,10,
Ageratum_houstonianum,24,24,0,26,
Allionia_incarnata,4,4,0,18,
Alnus_(pentaporate),28,28,0,28,
Alnus_(tetraporate),27,27,0,27,
Alnus_glutinosa,9,51,-42,53,
Alnus_incana,160,721,-561,773,
Alnus_rubra,18,26,-8,26,
Alnus_undiff,10,269,-259,298,
Alnus_viridis,43,768,-725,810,
Amaranthaceae_undiff,185,476,-291,505,
Amaranthus_australis,31,31,0,34,
Ambrosia_artemisiifolia,30,30,0,33,
Anacardiaceae_undiff,13,17,-4,17,
Apiaceae_undiff,30,125,-95,132,
Arecaceae_undiff,2,11,-9,12,
Artemisia_herba-alba,1,35,-34,38,
Artemisia_undiff,16,16,0,17,
Artemisia_vulgaris,1,37,-36,41,
Asteraceae_undiff,118,739,-621,805,
Athyrium_alpestre,3,20,-17,20,
Athyrium_filix-femina,22,41,-19,42,
Baccharis_tola,2,2,0,11,
Betulaceae_undiff,53,53,0,55,
Betula_costata,21,21,0,21,
Betula_dahurica,24,24,0,24,
Betula_divaricata,29,29,0,30,
Betula_ermanii,21,21,0,21,
Betula_fruticosa,16,16,0,17,
Betula_humilis,11,11,0,11,
Betula_pendula,24,24,0,24,
Betula_platyphylla,45,45,0,49,
Betula_pubescens,9,33,-24,33,
Betula_undiff,9,136,-127,140,
Bistorta_bistortoides,66,67,-1,72,
Bistorta_officinalis,32,153,-121,163,
Blechnum_serrulatum,17,17,0,18,
Botrychium_lunaria,27,28,-1,29,
Bouteloua_curtipendula,4,4,0,10,
Brasenia_schreberi,67,196,-129,212,
Brassicaceae_undiff,62,62,0,75,
Bursera_simaruba,8,10,-2,11,
Calla_palustris,9,17,-8,19,
Calystegia_sepium,8,14,-6,14,
Cannabis_sativa,5,72,-67,76,
Carpinus_betulus,10,120,-110,133,
Carpinus_cordata,10,10,0,10,
Carpinus_orientalis,22,22,0,23,
Caryophyllaceae_undiff,29,69,-40,75,
Castanea_sativa,7,19,-12,20,
Ceanothus_undiff,10,0,10,0,
Celtis_occidentalis,2,17,-15,17,
Centaurea_cyanus,3,149,-146,168,
Centaurea_jacea,10,76,-66,84,
Centaurea_nigra,17,26,-9,29,
Centaurea_solstitialis,1,41,-40,44,
Cephalanthus_occidentalis,19,26,-7,28,
Cerealia_undiff,16,32,-16,35,
Cicuta_maculata,16,16,0,19,
Circaea_alpina,2,13,-11,13,
Cladium_jamaicense,32,32,0,35,
Claytonia_acutifolia,22,22,0,24,
Claytonia_undiff,13,13,0,13,
Coniferae_undiff,6,15,-9,16,
Convolvulus_arvensis,7,15,-8,15,
Cornus_canadensis,11,75,-64,77,
Cornus_mas,4,38,-34,40,
Cornus_sanguinea,12,20,-8,21,
Cornus_sericea,32,66,-34,67,
Corylus_avellana,11,58,-47,68,
Cristaria_undiff,2,0,2,0,
Cryptantha_undiff,2,0,2,0,
Cryptogramma_crispa,5,19,-14,19,
Cupressaceae_undiff,57,57,0,59,
Cyclachaena_xanthiifolia,212,384,-172,418,
Cylindropuntia_imbricata,3,3,0,10,
Cyrilla_racemiflora,14,14,0,17,
Dalea_candida,89,89,0,97,
Dalea_purpurea,108,108,0,120,
Decodon_verticillatus,12,12,0,14,
Diphasiastrum_alpinum,6,147,-141,149,
Diphasiastrum_complanatum,6,308,-302,327,
Diphasiastrum_tristachyum,13,18,-5,19,
Drosera_rotundifolia,5,22,-17,25,
Dryopteris_carthusiana,28,28,0,28,
Dryopteris_dilatata,13,13,0,13,
Dryopteris_filix-mas,6,59,-53,62,
Dryopteris_fragrans,11,12,-1,12,
Empetrum_nigrum,2,16,-14,17,
Ephedra_distachya,2,117,-115,132,
Ephedra_fragilis,1,96,-95,108,
Ephedra_nevadensis,48,52,-4,71,
Ephedra_torreyana,63,63,0,73,
Ephedra_trifurca,53,53,0,60,
Ephedra_undiff,14,14,0,14,
Ephedra_viridis,69,70,-1,76,
Ericales_undiff,4,69,-65,71,
Eudicotyledoneae_(tricolpate),16,16,0,16,
Eudicotyledoneae_(tricolporate),40,41,-1,45,
Euphorbiaceae_undiff,11,11,0,11,
Fagus_grandifolia,17,17,0,17,
Fagus_orientalis,14,14,0,14,
Fagus_sylvatica,12,30,-18,35,
Fouquieria_splendens,6,6,0,12,
Fraxinus_(tetracolpate),85,85,0,97,
Fraxinus_(tricolpate),84,84,0,90,
Fraxinus_americana,29,168,-139,180,
Fraxinus_excelsior,8,83,-75,95,
Fraxinus_nigra,111,749,-638,839,
Fraxinus_ornus,1,47,-46,51,
Fraxinus_pennsylvanica,138,679,-541,773,
Fraxinus_undiff,302,302,0,332,
Hedera_helix,12,42,-30,47,
Hippophae_rhamnoides,6,64,-58,69,
Hippuris_vulgaris,4,90,-86,92,
Humulus_lupulus,20,20,0,20,
Huperzia_lucidula,52,192,-140,204,
Huperzia_selago,67,490,-423,546,
Hypericum_perforatum,1,41,-40,43,
Hypericum_undiff,13,1,12,1,
Ilex_aquifolium,14,15,-1,18,
Iva_annua,435,435,0,481,
Iva_undiff,41,41,0,47,
Jasione_montana,12,13,-1,14,
Juglans_cinerea,77,595,-518,660,
Juglans_nigra,100,487,-387,533,
Juglans_regia,15,15,0,15,
Juglans_undiff,99,99,0,110,
Juniperus_communis,6,91,-85,95,
Juniperus_sp,3,3,0,13,
Lamiaceae_undiff,38,38,0,38,
Larix_gmelinii,15,15,0,16,
Larix_laricina,25,25,0,26,
Leontice_leontopetalum,8,8,0,10,
Lepidium_sp,2,2,0,10,
Liliaceae_undiff,19,19,0,20,
Lilianae_undiff,12,12,0,13,
Linnaea_borealis,14,51,-37,51,
Linum_catharticum,9,13,-4,14,
Linum_usitatissimum,7,9,-2,10,
Liquidambar_styraciflua,13,13,0,13,
Littorella_uniflora,12,39,-27,42,
Lycopodiaceae_(foveolate),8,11,-3,11,
Lycopodiaceae_undiff,14,245,-231,255,
Lycopodiella_inundata,1,77,-76,77,
Lycopodium_annotinum,27,700,-673,752,
Lycopodium_clavatum,18,634,-616,718,
Lycopodium_obscurum,25,101,-76,106,
Lycopodium_undiff,23,101,-78,106,
Lysimachia_vulgaris,1,17,-16,19,
Lythrum_salicaria,2,27,-25,31,
Maclura_pomifera,30,33,-3,33,
Mercurialis_perennis,6,19,-13,21,
Micranthes_hieraciifolia,18,27,-9,27,
Micranthes_stellaris,7,34,-27,36,
Mikania_scandens,23,23,0,26,
Moraceae_undiff,10,10,0,10,
Morus_rubra,9,23,-14,24,
Myrica_cerifera,27,27,0,29,
Myriophyllum_alterniflorum,11,169,-158,178,
Myriophyllum_spicatum,6,172,-166,182,
Myriophyllum_undiff,9,19,-10,20,
Myrtaceae_undiff,5,15,-10,17,
Nassella_pubiflora,2,2,0,15,
Nothofagus_dombeyi,7,22,-15,25,
Nothofagus_obliqua,5,13,-8,16,
Nymphaeaceae_undiff,10,26,-16,26,
Nymphaea_odorata,24,24,0,26,
Onagraceae_undiff,4,39,-35,40,
Ophioglossum_vulgatum,14,14,0,14,
Osmunda_regalis,54,228,-174,246,
Oxyria_digyna,105,114,-9,120,
Parnassia_palustris,4,61,-57,67,
Pedicularis_langsdorffii,14,14,0,14,
Persicaria_amphibia,71,141,-70,146,
Persicaria_lapathifolia,21,117,-96,127,
Persicaria_maculosa,57,152,-95,169,
Phacelia_sp,5,5,0,13,
Physalis_sp,6,6,0,10,
Picea_abies,5,53,-48,64,
Picea_glauca,11,106,-95,107,
Picea_mariana,11,132,-121,135,
Picea_orientalis,14,14,0,14,
Picea_undiff,4,154,-150,158,
Pinaceae_undiff,55,55,0,58,
Pinus_albicaulis,13,13,0,13,
Pinus_banksiana,20,257,-237,299,
Pinus_cembra,9,21,-12,25,
Pinus_contorta,48,50,-2,50,
Pinus_edulis,31,39,-8,57,
Pinus_koraiensis,31,31,0,31,
Pinus_pumila,4,24,-20,25,
Pinus_sibirica,34,34,0,34,
Pinus_strobus,10,266,-256,305,
Pinus_sylvestris,79,141,-62,165,
Pinus_undiff,39,1097,-1058,1244,
Planera_aquatica,13,13,0,14,
Plantaginaceae_undiff,11,11,0,11,
Plantago_coronopus,2,75,-73,83,
Plantago_lanceolata,1,399,-398,456,
Plantago_major,14,297,-283,329,
Plantago_maritima,14,127,-113,138,
Plantago_media,3,94,-91,110,
Plantago_undiff,6,143,-137,148,
Platanus_occidentalis,3,15,-12,15,
Poaceae_undiff,1,377,-376,390,
Podocarpus_nubigenus,11,14,-3,15,
Polemoniaceae_undiff,29,29,0,29,
Polygonaceae_undiff,36,297,-261,306,
Polygonum_aviculare,16,213,-197,232,
Polygonum_californicum,10,15,-5,16,
Polygonum_ramosissimum,18,18,0,18,
Polygonum_undiff,11,11,0,11,
Polypodiophyta_(monolete),16,40,-24,41,
Polypodiophyta_(trilete),11,23,-12,24,
Polypodiophyta_undiff,14,138,-124,147,
Populus_balsamifera,14,168,-154,176,
Populus_tremula,5,13,-8,16,
Populus_tremuloides,8,247,-239,283,
Populus_undiff,23,35,-12,36,
Potentilla_palustris,6,55,-49,56,
Pseudotsuga_menziesii,14,14,0,14,
Pteridium_aquilinum,5,106,-101,117,
Pteridophyta_undiff,28,70,-42,70,
Quercus_coccifera,1,28,-27,32,
Quercus_ilex,16,90,-74,106,
Quercus_mongolica,15,15,0,15,
Quercus_robur,3,84,-81,99,
Quercus_undiff,17,17,0,17,
Ranunculaceae_undiff,1,471,-470,484,
Ranunculus_acris,11,60,-49,66,
Ranunculus_aquatilis,39,40,-1,41,
Ranunculus_flabellaris,11,13,-2,13,
Ranunculus_repens,1,31,-30,34,
Ranunculus_undiff,7,21,-14,22,
Rhamnaceae_undiff,11,11,0,11,
Rhamnus_cathartica,10,30,-20,31,
Rhododendron_tomentosum,10,10,0,12,
Rhynchospora_alba,10,11,-1,14,
Rosaceae_undiff,25,765,-740,823,
Rubiaceae_undiff,12,38,-26,39,
Rubus_chamaemorus,8,246,-238,250,
Rumex_acetosa,13,132,-119,144,
Rumex_acetosella,8,101,-93,107,
Rumex_crispus,8,17,-9,19,
Rumex_obtusifolius,8,14,-6,14,
Rumex_undiff,37,44,-7,45,
Ruppia_maritima,19,21,-2,21,
Salix_caroliniana,24,25,-1,27,
Salsola_kali,20,20,0,20,
Sanguisorba_minor,4,109,-105,121,
Sanguisorba_officinalis,17,117,-100,131,
Sarcobatus_vermiculatus,200,525,-325,576,
Saussurea_nuda,13,13,0,13,
Saxifragaceae_undiff,29,58,-29,58,
Saxifraga_cernua,16,44,-28,45,
Saxifraga_oppositifolia,13,125,-112,131,
Saxifraga_tricuspidata,21,29,-8,29,
Saxifraga_undiff,13,13,0,13,
schema.ini,47,0,47,0,
Schinus_terebinthifolius,13,13,0,14,
Scirpus_sp,2,2,0,14,
Scleranthus_annuus,2,10,-8,12,
Scrophulariaceae_undiff,53,53,0,54,
Secale_cereale,3,27,-24,30,
Shepherdia_argentea,86,86,0,97,
Silene_dioica,10,12,-2,12,
Solanum_dulcamara,4,45,-41,49,
Sorbus_aucuparia,3,14,-11,15,
Spergula_arvensis,3,12,-9,13,
Succisa_pratensis,12,28,-16,32,
Taxodium_distichum,11,11,0,11,
Taxus_canadensis,10,10,0,10,
Thelypteris_palustris,20,90,-70,109,
Tilia_americana,14,14,0,14,
Tilia_cordata,10,59,-49,64,
Tilia_platyphyllos,17,22,-5,25,
Trapa_natans,4,11,-7,12,
Trema_micrantha,10,10,0,10,
Trifolium_repens,42,50,-8,53,
Tsuga_heterophylla,78,79,-1,80,
Tsuga_mertensiana,72,73,-1,75,
Typha_(tetrad),12,18,-6,22,
Typha_angustifolia,4,216,-212,226,
Typha_domingensis,33,33,0,36,
Typha_latifolia,7,1018,-1011,1132,
Ulmus_minor,10,10,0,10,
Urticalean_Rosids,15,15,0,27,
Urticales_undiff,8,19,-11,21,
Valeriana_officinalis,14,56,-42,61,
Zea_mays,30,110,-80,115,
